id,address,latitude,listing_id,longitude
...,"Seed location",19.8045460,...,85.8195900
...,"Seed location",36.7280540,...,14.8486120
...,"Seed location",-33.8738170,...,18.7187750
...,"Seed location",32.2440760,...,77.1891560
...,"Seed location",23.7431770,...,92.7384640
...,"Seed location",24.8075280,...,93.9361040
...,"Seed location",15.3983580,...,73.8119030
...,"Seed location",13.3403170,...,74.7482500
...,"Seed location",48.2730520,...,14.5773720
...,"Seed location",27.0418470,...,88.2651300
...,"Seed location",59.3613000,...,17.2057570
...,"Seed location",32.4410100,...,76.5340600
...,"Seed location",9.5005660,...,76.3420800
...,"Seed location",65.9642700,...,29.1892410
...,"Seed location",26.4082400,...,79.5307540
...,"Seed location",18.5255010,...,72.9164050
...,"Seed location",27.0424630,...,88.2392350
...,"Seed location",5.1033360,...,73.0703650
...,"Seed location",21.0307080,...,105.8536700
...,"Seed location",54.0289650,...,12.6649690
...,"Seed location",18.7540040,...,73.4044200
...,"Seed location",51.8386230,...,16.3378410
...,"Seed location",61.2483330,...,8.8048210
...,"Seed location",28.3668000,...,94.7459790
...,"Seed location",19.8045460,...,85.8195900
...,"Seed location",46.8816640,...,8.6439210
...,"Seed location",48.8534950,...,2.3483920
...,"Seed location",67.6597060,...,24.9048770
...,"Seed location",-29.8586880,...,31.0218320
...,"Seed location",20.9521330,...,107.0797650
...,"Seed location",65.3434900,...,17.5853580
...,"Seed location",13.3714740,...,77.4183300
...,"Seed location",21.2431760,...,81.6343200
...,"Seed location",17.3613620,...,78.4745250
...,"Seed location",34.0747500,...,74.8212900
...,"Seed location",13.2961650,...,77.7020960
...,"Seed location",62.8917120,...,27.6798530
...,"Seed location",28.6139280,...,77.2087700
...,"Seed location",68.6202770,...,14.4475260
...,"Seed location",51.5073000,...,-0.1276470
...,"Seed location",31.6269280,...,-7.9881170
...,"Seed location",32.2440760,...,77.1891560
...,"Seed location",23.8954520,...,91.2474900
...,"Seed location",11.2262320,...,78.3275760
...,"Seed location",30.1890830,...,79.2075570
...,"Seed location",22.8728730,...,86.1824300
...,"Seed location",25.3366930,...,83.0070100
...,"Seed location",18.7190100,...,99.2095910
...,"Seed location",17.7248400,...,83.3061600
...,"Seed location",45.3505500,...,25.5492940
...,"Seed location",27.3306120,...,88.6132200
...,"Seed location",28.6139280,...,77.2087700
...,"Seed location",28.4646550,...,77.0295700
...,"Seed location",37.5899240,...,127.0154200
...,"Seed location",68.4383340,...,17.4271510
...,"Seed location",58.0555900,...,7.7694610
...,"Seed location",30.3843210,...,79.3198550
...,"Seed location",25.5758460,...,91.8828300
...,"Seed location",11.2452040,...,75.7754000
...,"Seed location",22.3445900,...,78.6643300
...,"Seed location",4.1779880,...,73.5107390
...,"Seed location",28.2088100,...,83.9927900
...,"Seed location",31.6269280,...,-7.9881170
...,"Seed location",36.1998370,...,29.6415390
...,"Seed location",8.1241160,...,98.3070490
...,"Seed location",56.8800540,...,16.6566660
...,"Seed location",66.5025900,...,25.7309280
...,"Seed location",53.6556780,...,21.5064950
...,"Seed location",25.6099070,...,85.1377640
...,"Seed location",20.2603550,...,85.8385400
...,"Seed location",12.9791010,...,77.5913010
...,"Seed location",32.2440760,...,77.1891560
...,"Seed location",24.5822400,...,73.6966300
...,"Seed location",4.1779880,...,73.5107390
...,"Seed location",32.2440760,...,77.1891560
...,"Seed location",17.7248400,...,83.3061600
...,"Seed location",6.0328140,...,80.2149550
...,"Seed location",13.7524940,...,100.4935090
...,"Seed location",15.4988070,...,73.8278510
...,"Seed location",13.7524940,...,100.4935090
...,"Seed location",-33.8487600,...,151.2146500
...,"Seed location",35.5008600,...,138.7654770
...,"Seed location",15.3255560,...,74.0541110
...,"Seed location",21.2093400,...,72.8330500
...,"Seed location",25.2580900,...,55.2975580
...,"Seed location",51.2949200,...,8.6094930
...,"Seed location",38.9471200,...,22.1443770
...,"Seed location",24.5822400,...,73.6966300
...,"Seed location",43.1608100,...,13.5921660
...,"Seed location",45.8922700,...,26.1868950
...,"Seed location",7.8465200,...,98.3344150
...,"Seed location",-8.5375650,...,119.5721050
...,"Seed location",31.6342300,...,74.8738800
...,"Seed location",38.9217400,...,1.2934340
...,"Seed location",40.6284180,...,14.4863510
...,"Seed location",20.7525940,...,107.0132600
...,"Seed location",-31.8899570,...,116.7684300
...,"Seed location",27.1749300,...,78.0088200
...,"Seed location",26.9203410,...,75.8124800
...,"Seed location",32.2440760,...,77.1891560
...,"Seed location",31.1198270,...,77.3585700
...,"Seed location",25.6713120,...,94.1078800
...,"Seed location",20.2988600,...,85.8058700
...,"Seed location",29.8389000,...,78.6830440
...,"Seed location",26.1789630,...,91.7515260
...,"Seed location",19.8045460,...,85.8195900
...,"Seed location",38.9217400,...,1.2934340
...,"Seed location",51.5118060,...,-0.1324290
...,"Seed location",25.2580900,...,55.2975580
...,"Seed location",57.6360700,...,18.3213170
...,"Seed location",32.0585500,...,77.1623600
...,"Seed location",-8.5375650,...,119.5721050
...,"Seed location",32.2440760,...,77.1891560
...,"Seed location",51.6802520,...,-9.4523800
...,"Seed location",29.3919100,...,79.4544140
...,"Seed location",-32.0217700,...,116.0831000
...,"Seed location",68.0220820,...,13.1627790
...,"Seed location",31.9274080,...,77.2349950
...,"Seed location",12.6626220,...,100.8996800
